SKU,PRODUCT NAME,SIZE,COLOUR,QTY,RETAIL PRICE
CRW-TS-001,Classic Crew T-Shirt,S,Black,25,149.99
CRW-TS-002,Classic Crew T-Shirt,M,White,30,149.99
SLM-JN-003,Slim Fit Denim Jean,32,Indigo,15,449.99
SLM-JN-004,Slim Fit Denim Jean,34,Black,12,449.99
CNV-SN-005,Canvas Sneaker Low,8,White,20,299.99
CNV-SN-006,Canvas Sneaker Low,10,Grey,18,299.99
FLC-HD-007,Fleece Zip Hoodie,M,Charcoal,12,399.99
CRG-SH-008,Cargo Shorts,L,Khaki,18,249.99
BSB-CP-009,Cotton Baseball Cap,One Size,Navy,30,129.99
LTH-BT-010,Leather Belt,34,Brown,22,179.99
